Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5446355889,"Jun 10, 2021, 1:33:39 PM",Warm up,Run,,825,1.49,,,false,,Nike Air Zoom Vomero 15,activities/5446355889.gpx,,,825.0,590.0,1489.9000244140625,5.800000190734863,2.525254249572754,6.336190700531006,6.336190700531006,226.3000030517578,230.8000030517578,19.5,0.0,,,,,,,,,163.4237823486328,,,,,,,,,2.0,,,,,0.0,2.0,0.0,,1.0,1546.5999755859375,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5457674762,"Jun 12, 2021, 1:57:32 PM",Ride 03,Ride,"",1793,11.03,,,false,,,activities/5457674762.gpx,,,1793.0,1790.0,11035.2001953125,8.300000190734863,6.164916038513184,28.046302795410156,27.446300506591797,223.6999969482422,231.60000610351562,11.399999618530273,0.005437146406620741,,,,,,,,84.4881591796875,168.6257781982422,,,,,,,,,4.0,,,,,0.0,19.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5458114280,"Jun 12, 2021, 2:33:40 PM",Evening Activity,Workout,,2173,0,153.0,15,false,,,activities/5810804141.gpx.gz,,,2173.0,2173.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,130.47354125976562,,,,,,15.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5463633757,"Jun 13, 2021, 2:08:50 PM",Walk 01,Walk,,1925,3.00,,,false,,Nike Air Zoom Vomero 15,activities/5463633757.gpx,,,1925.0,1925.0,3002.89990234375,2.9000000953674316,1.5599480867385864,8.502887725830078,9.902888298034668,225.60000610351562,231.39999389648438,19.5,-0.046621598303318024,,,,,,,,,317.3058776855469,,,,,,,,,3.0,,,,,0.0,16.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5468477430,"Jun 14, 2021, 1:09:42 PM",Ride 04,Ride,,3618,23.34,,,false,,,activities/5468477430.gpx,,,3618.0,3613.0,23340.400390625,9.199999809265137,6.460116386413574,64.7419662475586,64.6419677734375,223.6999969482422,231.60000610351562,9.300000190734863,0.0004284416791051626,,,,,,,,86.7509765625,349.4758605957031,,,,,,,,,6.0,,,,,0.0,95.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5469226939,"Jun 14, 2021, 4:21:43 PM",Walk 02,Walk,"",1881,3.34,,,false,,Nike Air Zoom Vomero 15,activities/5469226939.gpx,,,1881.0,1881.0,3341.5,3.5,1.7764487266540527,4.200568199157715,3.6005699634552,225.8000030517578,231.6999969482422,17.5,0.01795600727200508,,,,,,,,,353.08453369140625,,,,,,,,,4.0,,,,,0.0,20.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5473698689,"Jun 15, 2021, 12:28:17 PM",Run 15,Run,"",2190,5.10,,,false,,Nike Air Zoom Vomero 15,activities/5473698689.gpx,,,2190.0,2178.0,5106.0,4.300000190734863,2.3443527221679688,3.917193651199341,3.317189931869507,226.3000030517578,231.60000610351562,16.5,0.011750881560146809,,,,,,,,,549.3811645507812,,,,,,,,,7.0,,,,,0.0,69.0,0.0,,1.0,5199.2001953125,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5496203434,"Jun 19, 2021, 3:08:20 PM",Walk 03,Walk,"",2708,5.02,,,false,,Nike Air Zoom Vomero 15,activities/5496203434.gpx,,,2708.0,2708.0,5026.2001953125,3.0,1.8560560941696167,0.0,0.0,226.3000030517578,228.89999389648438,23.399999618530273,0.0,,,,,,,,,531.1008911132812,,,,,,,,,3.0,,,,,0.0,22.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5501993477,"Jun 20, 2021, 3:22:50 PM",Walk 04,Walk,"",2670,5.14,,,false,,Nike Air Zoom Vomero 15,activities/5501993477.gpx,,,2670.0,2670.0,5142.89990234375,3.0999999046325684,1.9261797666549683,3.980952262878418,3.3809499740600586,226.10000610351562,231.60000610351562,22.299999237060547,0.011666569858789444,,,,,,,,,543.43212890625,,,,,,,,,4.0,,,,,0.0,29.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5510916071,"Jun 22, 2021, 12:41:02 PM",Ride 05,Ride,"",3187,20.50,,,false,,,activities/5510916071.gpx,,,3187.0,3187.0,20504.19921875,9.300000190734863,6.433699607849121,57.65519714355469,57.75519943237305,223.6999969482422,231.60000610351562,11.699999809265137,-0.0004877049650531262,,,,,,,,89.34051513671875,317.4719543457031,,,,,,,,,8.0,,,,,0.0,137.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5516493471,"Jun 23, 2021, 12:51:55 PM",Ride 06,Ride,"",3662,24.01,,,false,,,activities/5516493471.gpx,,,3662.0,3602.0,24016.900390625,9.199999809265137,6.667656898498535,68.51290893554688,68.41290283203125,223.6999969482422,231.39999389648438,10.0,0.0004163734847679734,,,,,,,,89.00723266601562,357.473388671875,,,,,,,,,8.0,,,,,0.0,155.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5517547880,"Jun 23, 2021, 4:40:19 PM",Walk 05,Walk,"",2635,5.09,,,false,,Nike Air Zoom Vomero 15,activities/5517547880.gpx,,,2635.0,2635.0,5097.5,3.0999999046325684,1.9345351457595825,0.0,0.0,226.3000030517578,228.89999389648438,14.0,0.0,,,,,,,,,538.6348876953125,,,,,,,,,5.0,,,,,0.0,47.0,0.0,,1.0,,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
5521720730,"Jun 24, 2021, 12:58:08 PM",Run 16,Run,"",2110,5.01,,,false,,Nike Air Zoom Vomero 15,activities/5521720730.gpx,,,2110.0,2101.0,5016.7998046875,5.599999904632568,2.387815237045288,0.0,0.0,226.3000030517578,228.89999389648438,17.399999618530273,0.0,,,86.0,77.41520690917969,,,,,536.5955200195312,,,,,,,,,6.0,,,,,0.0,55.0,0.0,,1.0,5078.2001953125,,,,,,,,,,,,,,,,8476308.0,,,,,,,,,,,,,,,,,,,,,,,,""
